# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.72161174	-42.28202625
1.72893774	-28.25489164
1.73626375	-25.11988201
1.74358976	-26.08537129
1.75091577	-26.91203362
1.75824177	-28.91560943
1.76556778	-31.61426914
1.77289379	-29.87031091
1.78021980	-30.20066434
1.78754580	-29.96993201
1.79487181	-33.36402846
1.80219782	-32.14115383
1.80952383	-27.41971450
1.81684983	-27.00325176
1.82417584	-27.59520713
1.83150185	-28.90942698
1.83882786	-30.24833388
1.84615386	-31.08186049
1.85347987	-32.17484554
1.86080588	-33.16426932
1.86813189	-42.55405277
1.87545789	-35.40159641
1.88278390	-30.71516207
1.89010991	-29.78628032
1.89743591	-29.26452953
1.90476192	-30.11364126
1.91208793	-31.89322925
1.91941394	-40.44752735
1.92673994	-36.90345533
1.93406595	-34.33358325
1.94139196	-34.38953262
1.94871797	-34.08676027
1.95604397	-33.43030751
1.96336998	-32.54345794
1.97069599	-31.42702647
1.97802200	-30.92063104
1.98534800	-31.66157889
1.99267401	-33.08309299
2.00000002	-34.45088759
2.00732603	-35.33684764
2.01465203	-36.55930438
2.02197804	-36.96386930
2.02930405	-36.73969422
2.03663006	-37.42271319
2.04395606	-41.72702708
2.05128207	-34.53835793
2.05860808	-33.76743899
2.06593408	-33.84153691
2.07326009	-37.46378143
2.08058610	-39.12773687
2.08791211	-37.57699668
2.09523811	-38.42726188
2.10256412	-38.62632644
2.10989013	-38.68896114
2.11721614	-38.09925538
2.12454214	-37.53111594
2.13186815	-36.37902410
2.13919416	-35.95510249
2.14652017	-36.81452074
2.15384617	-38.58297204
2.16117218	-45.09850149
2.16849819	-57.99311798
2.17582420	-44.84577513
2.18315020	-42.97034793
2.19047621	-44.51980238
2.19780222	-58.43458671
2.20512823	-45.73547747
2.21245423	-41.54156914
2.21978024	-45.53751550
2.22710625	-50.53065707
2.23443225	-41.20081108
2.24175826	-42.10368873
2.24908427	-43.25507312
2.25641028	-45.51642094
2.26373628	-55.74437509
2.27106229	-54.15695696
2.27838830	-45.47896361
2.28571431	-43.58968283
2.29304031	-42.48271641
2.30036632	-41.78345342
2.30769233	-41.96191049
2.31501834	-43.24831503
2.32234434	-45.10442992
2.32967035	-46.13838837
2.33699636	-46.74126654
2.34432237	-52.06129722
2.35164837	-51.62561409
2.35897438	-48.24916903
2.36630039	-52.06279051
2.37362640	-50.43875683
2.38095240	-46.39251956
2.38827841	-51.08605800
2.39560442	-64.73072214
2.40293042	-51.16392546
2.41025643	-49.11987693
2.41758244	-50.19699014
2.42490845	-50.42507228
2.43223445	-51.14967911
2.43956046	-50.63770427
2.44688647	-51.28274734
2.45421248	-51.42262661
2.46153848	-56.10142652
2.46886449	-61.32577310
2.47619050	-51.05704447
2.48351651	-50.42054161
2.49084251	-51.97761109
2.49816852	-52.68261852
2.50549453	-54.09668472
2.51282054	-54.03956846
2.52014654	-52.70742889
2.52747255	-51.91115749
2.53479856	-51.90797584
2.54212457	-51.09763360
2.54945057	-51.36601723
2.55677658	-51.94787702
2.56410259	-52.43710226
2.57142860	-55.44927811
2.57875460	-54.47002313
2.58608061	-56.16306121
2.59340662	-56.24681548
2.60073262	-57.30214371
2.60805863	-57.18595888
2.61538464	-56.49564618
2.62271065	-56.32729870
2.63003665	-62.20718060
2.63736266	-91.16032173
2.64468867	-81.01662082
2.65201468	-70.12351251
2.65934068	-62.43986626
2.66666669	-63.45723656
2.67399270	-60.92275630
2.68131871	-58.81650295
2.68864471	-66.10563623
2.69597072	-60.00657588
2.70329673	-58.41955984
2.71062274	-57.87712660
2.71794874	-57.64642629
2.72527475	-57.71123623
2.73260076	-56.89996369
2.73992677	-57.12782128
2.74725277	-59.43948809
2.75457878	-59.21166400
2.76190479	-61.32637769
2.76923079	-75.17140389
2.77655680	-75.84259643
2.78388281	-74.42063921
2.79120882	-65.23629873
2.79853482	-59.50241974
2.80586083	-57.77129091
2.81318684	-57.71866550
2.82051285	-57.93908836
2.82783885	-59.31163842
2.83516486	-59.94224590
2.84249087	-62.12106690
2.84981688	-60.67098706
2.85714288	-59.14153389
2.86446889	-56.59133909
2.87179490	-56.16892414
2.87912091	-61.20946490
2.88644691	-86.92635669
2.89377292	-59.98113420
2.90109893	-58.00328482
2.90842494	-59.35932334
2.91575094	-58.32158746
2.92307695	-59.01023254
2.93040296	-58.79597454
2.93772896	-59.22647299
2.94505497	-59.06720226
2.95238098	-58.26408091
2.95970699	-59.67928014
2.96703299	-69.47100645
2.97435900	-81.73117450
2.98168501	-69.60689506
2.98901102	-61.96611709
2.99633702	-62.03116024
3.00366303	-65.88865308
3.01098904	-78.25735705
3.01831505	-78.78164975
3.02564105	-65.76493612
3.03296706	-60.99325531
3.04029307	-59.53098538
3.04761908	-73.98741657
3.05494508	-57.00409407
3.06227109	-56.47926610
3.06959710	-58.55504845
3.07692311	-58.72139219
3.08424911	-59.47979733
3.09157512	-59.75202454
3.09890113	-59.33765714
3.10622713	-58.31724320
3.11355314	-57.18799816
3.12087915	-56.38094049
3.12820516	-60.32463275
3.13553116	-74.37319466
3.14285717	-70.90554660
3.15018318	-60.02004536
3.15750919	-59.72632638
3.16483519	-67.60685551
3.17216120	-71.70838829
3.17948721	-64.21869417
3.18681322	-63.16676144
3.19413922	-59.39512403
3.20146523	-55.19030631
3.20879124	-54.65945027
3.21611725	-59.74873912
3.22344325	-57.78019563
3.23076926	-63.53007298
3.23809527	-63.88565743
3.24542128	-59.40081775
3.25274728	-59.38572038
3.26007329	-57.67898568
3.26739930	-57.94270348
3.27472530	-55.87387104
3.28205131	-55.50095438
3.28937732	-54.11708823
3.29670333	-53.34047022
3.30402933	-55.04957655
3.31135534	-56.62499003
3.31868135	-58.17465547
3.32600736	-63.75834475
3.33333336	-73.16669800
3.34065937	-77.26736843
3.34798538	-62.11280661
3.35531139	-58.43160045
3.36263739	-56.38327773
3.36996340	-55.02049071
3.37728941	-54.50044540
3.38461542	-54.66208358
3.39194142	-55.27326730
3.39926743	-57.27789610
3.40659344	-56.60444058
3.41391945	-58.56869559
3.42124545	-58.80909658
3.42857146	-58.99318965
3.43589747	-58.24969639
3.44322347	-58.74249705
3.45054948	-56.18883601
3.45787549	-55.44956873
3.46520150	-56.11342268
3.47252750	-58.00734799
3.47985351	-58.22801757
3.48717952	-59.35382536
3.49450553	-60.89962711
3.50183153	-65.61814084
3.50915754	-59.35534551
3.51648355	-59.50674948
3.52380956	-57.51965819
3.53113556	-56.88831582
3.53846157	-62.91885546
3.54578758	-62.15090914
3.55311359	-57.69251292
