# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.72893774	-37.00688265
1.73626375	-34.47442834
1.74358976	-34.03679968
1.75091577	-34.18955166
1.75824177	-34.62387843
1.76556778	-37.09743910
1.77289379	-34.82755884
1.78021980	-35.41746177
1.78754580	-35.66845439
1.79487181	-39.56034853
1.80219782	-40.00744276
1.80952383	-36.05808430
1.81684983	-36.25118220
1.82417584	-36.00491351
1.83150185	-36.32936117
1.83882786	-36.43012471
1.84615386	-36.64925728
1.85347987	-37.23773095
1.86080588	-38.15390379
1.86813189	-47.70655319
1.87545789	-41.84332822
1.88278390	-38.68078160
1.89010991	-38.57345526
1.89743591	-38.55258803
1.90476192	-38.81939679
1.91208793	-39.67542180
1.91941394	-46.47451588
1.92673994	-43.11827940
1.93406595	-39.91339336
1.94139196	-39.62861381
1.94871797	-39.82167754
1.95604397	-39.59077507
1.96336998	-39.89072754
1.97069599	-39.73778901
1.97802200	-40.20098788
1.98534800	-40.61743748
1.99267401	-40.87925423
2.00000002	-41.12462488
2.00732603	-41.03275807
2.01465203	-41.86665411
2.02197804	-42.14236725
2.02930405	-42.25832863
2.03663006	-43.59533248
2.04395606	-48.98742579
2.05128207	-43.21469788
2.05860808	-43.16199420
2.06593408	-42.87996401
2.07326009	-45.28850841
2.08058610	-45.77585781
2.08791211	-43.05093058
2.09523811	-43.25471005
2.10256412	-43.16935646
2.10989013	-43.42599905
2.11721614	-43.56099286
2.12454214	-44.11201429
2.13186815	-44.33833863
2.13919416	-45.03512900
2.14652017	-45.66226739
2.15384617	-46.38927521
2.16117218	-51.84373658
2.16849819	-66.74254305
2.17582420	-50.07608416
2.18315020	-47.42846180
2.19047621	-48.71312702
2.19780222	-61.44110591
2.20512823	-51.83475623
2.21245423	-48.28337590
2.21978024	-52.48406476
2.22710625	-59.95389285
2.23443225	-49.41029433
2.24175826	-48.58606763
2.24908427	-48.74649354
2.25641028	-50.29184610
2.26373628	-58.72745520
2.27106229	-60.87624244
2.27838830	-51.79188944
2.28571431	-50.01206173
2.29304031	-49.70041868
2.30036632	-49.61893735
2.30769233	-49.69205541
2.31501834	-50.05680301
2.32234434	-50.47334560
2.32967035	-50.48577587
2.33699636	-50.71604969
2.34432237	-55.42627516
2.35164837	-55.56811130
2.35897438	-51.90994462
