# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-221.76666664	-0.00381967
-221.73333330	-0.00401796
-221.69999997	-0.00408539
-221.66666664	-0.00426571
-221.63333330	-0.00452587
-221.59999997	-0.00457727
-221.56666664	-0.00475578
-221.53333330	-0.00476770
-221.49999997	-0.00490141
-221.46666664	-0.00501770
-221.43333330	-0.00516746
-221.39999997	-0.00540808
-221.36666663	-0.00530480
-221.33333330	-0.00551767
-221.29999997	-0.00569819
-221.26666663	-0.00590423
-221.23333330	-0.00603568
-221.19999997	-0.00607601
-221.16666663	-0.00605466
-221.13333330	-0.00616225
-221.09999997	-0.00615769
-221.06666663	-0.00605089
-221.03333330	-0.00603681
-220.99999997	-0.00650294
-220.96666663	-0.00624863
-220.93333330	-0.00619773
-220.89999997	-0.00618261
-220.86666663	-0.00619121
-220.83333330	-0.00627064
-220.79999997	-0.00616411
-220.76666663	-0.00603286
-220.73333330	-0.00601132
-220.69999997	-0.00582460
-220.66666663	-0.00590906
-220.63333330	-0.00559921
-220.59999997	-0.00557091
-220.56666663	-0.00555576
-220.53333330	-0.00536672
-220.49999996	-0.00520298
-220.46666663	-0.00498546
-220.43333330	-0.00486914
-220.39999996	-0.00468846
-220.36666663	-0.00454576
-220.33333330	-0.00442602
-220.29999996	-0.00423558
-220.26666663	-0.00409906
-220.23333330	-0.00385422
-220.19999996	-0.00361334
-220.16666663	-0.00351054
-220.13333330	-0.00329117
-220.09999996	-0.00311555
-220.06666663	-0.00276893
-220.03333330	-0.00261792
-219.99999996	-0.00236465
-219.96666663	-0.00232871
-219.93333330	-0.00208579
-219.89999996	-0.00196273
-219.86666663	-0.00158274
-219.83333330	-0.00142217
-219.79999996	-0.00124125
-219.76666663	-0.00127028
-219.73333330	-0.00097361
-219.69999996	-0.00085634
-219.66666663	-0.00051610
-219.63333329	-0.00041723
-219.59999996	-0.00020643
-219.56666663	-0.00008214
-219.53333329	-0.00004507
-219.49999996	0.00010533
-219.46666663	0.00026152
-219.43333329	0.00043289
-219.39999996	0.00069403
-219.36666663	0.00069512
-219.33333329	0.00095085
-219.29999996	0.00106509
-219.26666663	0.00122725
-219.23333329	0.00124266
-219.19999996	0.00145728
-219.16666663	0.00153094
-219.13333329	0.00174287
-219.09999996	0.00181028
-219.06666663	0.00201713
-219.03333329	0.00227922
-218.99999996	0.00228476
-218.96666663	0.00250338
-218.93333329	0.00249643
-218.89999996	0.00271582
-218.86666662	0.00275326
-218.83333329	0.00289986
-218.79999996	0.00302029
-218.76666662	0.00293420
-218.73333329	0.00320411
-218.69999996	0.00339776
-218.66666662	0.00336753
-218.63333329	0.00360349
-218.59999996	0.00354910
-218.56666662	0.00379897
-218.53333329	0.00374160
-218.49999996	0.00388555
-218.46666662	0.00396382
-218.43333329	0.00419076
-218.39999996	0.00425658
-218.36666662	0.00440162
-218.33333329	0.00478796
-218.29999996	0.00466042
-218.26666662	0.00478639
-218.23333329	0.00485633
-218.19999996	0.00511472
-218.16666662	0.00521396
-218.13333329	0.00515144
-218.09999996	0.00528031
-218.06666662	0.00535727
