# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-221.86666672	-0.00275374
-221.83333339	-0.00305118
-221.80000006	-0.00299169
-221.76666673	-0.00333819
-221.73333339	-0.00339792
-221.70000006	-0.00338344
-221.66666673	-0.00349411
-221.63333339	-0.00382491
-221.60000006	-0.00384575
-221.56666673	-0.00406026
-221.53333339	-0.00404865
-221.50000006	-0.00412587
-221.46666673	-0.00452183
-221.43333340	-0.00455478
-221.40000006	-0.00475002
-221.36666673	-0.00483619
-221.33333340	-0.00498774
-221.30000006	-0.00517060
-221.26666673	-0.00522828
-221.23333340	-0.00527159
-221.20000006	-0.00546196
-221.16666673	-0.00567889
-221.13333340	-0.00575655
-221.10000007	-0.00586061
-221.06666673	-0.00593136
-221.03333340	-0.00591621
-221.00000007	-0.00595352
-220.96666673	-0.00611905
-220.93333340	-0.00611345
-220.90000007	-0.00614001
-220.86666673	-0.00595336
-220.83333340	-0.00602175
-220.80000007	-0.00597889
-220.76666673	-0.00592630
-220.73333340	-0.00584067
-220.70000007	-0.00591060
-220.66666674	-0.00592524
-220.63333340	-0.00567634
-220.60000007	-0.00563971
-220.56666674	-0.00564110
-220.53333340	-0.00535249
-220.50000007	-0.00531862
-220.46666674	-0.00496972
-220.43333340	-0.00506080
-220.40000007	-0.00501220
-220.36666674	-0.00488778
-220.33333341	-0.00478965
-220.30000007	-0.00459324
-220.26666674	-0.00450690
-220.23333341	-0.00407495
-220.20000007	-0.00412302
-220.16666674	-0.00405926
-220.13333341	-0.00401234
-220.10000007	-0.00378797
-220.06666674	-0.00361931
-220.03333341	-0.00365150
-220.00000007	-0.00329633
-219.96666674	-0.00329941
-219.93333341	-0.00331596
-219.90000008	-0.00300631
-219.86666674	-0.00302301
-219.83333341	-0.00278627
-219.80000008	-0.00288380
-219.76666674	-0.00272649
-219.73333341	-0.00263419
-219.70000008	-0.00239489
-219.66666674	-0.00237529
-219.63333341	-0.00233333
-219.60000008	-0.00208543
-219.56666675	-0.00199135
-219.53333341	-0.00194817
-219.50000008	-0.00176669
-219.46666675	-0.00176027
-219.43333341	-0.00166413
-219.40000008	-0.00145807
-219.36666675	-0.00128976
-219.33333341	-0.00126791
-219.30000008	-0.00109166
-219.26666675	-0.00105282
-219.23333342	-0.00101182
-219.20000008	-0.00076171
-219.16666675	-0.00053983
-219.13333342	-0.00075370
-219.10000008	-0.00056581
-219.06666675	-0.00036102
-219.03333342	-0.00022778
-219.00000008	-0.00014353
-218.96666675	-0.00015185
-218.93333342	-0.00004956
-218.90000008	0.00007458
-218.86666675	0.00032395
-218.83333342	0.00020408
-218.80000009	0.00036720
-218.76666675	0.00049050
-218.73333342	0.00060461
-218.70000009	0.00066004
-218.66666675	0.00085743
-218.63333342	0.00087835
-218.60000009	0.00094902
-218.56666675	0.00090041
-218.53333342	0.00092309
-218.50000009	0.00121649
-218.46666676	0.00116395
-218.43333342	0.00121296
-218.40000009	0.00133685
-218.36666676	0.00136475
-218.33333342	0.00127799
-218.30000009	0.00136427
-218.26666676	0.00146163
-218.23333342	0.00140491
-218.20000009	0.00147055
-218.16666676	0.00151044
-218.13333343	0.00161520
-218.10000009	0.00166258
-218.06666676	0.00146560
-218.03333343	0.00159153
-218.00000009	0.00175345
-217.96666676	0.00175148
-217.93333343	0.00204217
-217.90000009	0.00182338
-217.86666676	0.00185865
-217.83333343	0.00190460
-217.80000009	0.00203805
-217.76666676	0.00207347
-217.73333343	0.00217280
-217.70000010	0.00214953
-217.66666676	0.00225482
-217.63333343	0.00233970
-217.60000010	0.00232147
-217.56666676	0.00246286
-217.53333343	0.00246789
-217.50000010	0.00255654
-217.46666676	0.00256632
-217.43333343	0.00268927
-217.40000010	0.00277515
-217.36666677	0.00281687
-217.33333343	0.00276469
-217.30000010	0.00304199
-217.26666677	0.00312010
-217.23333343	0.00307807
-217.20000010	0.00295862
-217.16666677	0.00314994
-217.13333343	0.00316021
-217.10000010	0.00323620
-217.06666677	0.00341474
-217.03333344	0.00331473
-217.00000010	0.00348888
-216.96666677	0.00349809
-216.93333344	0.00384716
-216.90000010	0.00374875
-216.86666677	0.00383303
-216.83333344	0.00387758
-216.80000010	0.00403689
-216.76666677	0.00392780
-216.73333344	0.00409572
-216.70000010	0.00391551
-216.66666677	0.00400866
-216.63333344	0.00401584
-216.60000011	0.00378673
-216.56666677	0.00354673
-216.53333344	0.00335585
-216.50000011	0.00302847
-216.46666677	0.00252362
-216.43333344	0.00194779
-216.40000011	0.00138628
-216.36666677	0.00083426
-216.33333344	0.00006818
-216.30000011	-0.00052199
-216.26666678	-0.00112410
-216.23333344	-0.00179459
-216.20000011	-0.00242969
-216.16666678	-0.00291408
-216.13333344	-0.00324081
-216.10000011	-0.00347248
-216.06666678	-0.00377851
-216.03333344	-0.00408911
-216.00000011	-0.00379459
-215.96666678	-0.00377838
-215.93333345	-0.00360678
-215.90000011	-0.00324160
-215.86666678	-0.00288037
-215.83333345	-0.00250182
-215.80000011	-0.00239235
-215.76666678	-0.00183536
-215.73333345	-0.00135062
-215.70000011	-0.00081981
-215.66666678	-0.00041286
-215.63333345	0.00019825
-215.60000011	0.00067316
-215.56666678	0.00115469
-215.53333345	0.00177967
-215.50000012	0.00220027
-215.46666678	0.00250310
-215.43333345	0.00273538
-215.40000012	0.00319218
-215.36666678	0.00369493
-215.33333345	0.00384051
-215.30000012	0.00410373
-215.26666678	0.00402067
-215.23333345	0.00402215
-215.20000012	0.00391205
-215.16666679	0.00370101
-215.13333345	0.00335082
-215.10000012	0.00301105
-215.06666679	0.00223294
-215.03333345	0.00190370
-215.00000012	0.00087182
-214.96666679	0.00004333
-214.93333345	-0.00058654
-214.90000012	-0.00167097
-214.86666679	-0.00255803
-214.83333346	-0.00335094
-214.80000012	-0.00407246
-214.76666679	-0.00456912
-214.73333346	-0.00515582
-214.70000012	-0.00554575
-214.66666679	-0.00572567
-214.63333346	-0.00562114
-214.60000012	-0.00545604
-214.56666679	-0.00498006
-214.53333346	-0.00451832
-214.50000012	-0.00350316
-214.46666679	-0.00272972
-214.43333346	-0.00195802
-214.40000013	-0.00093414
-214.36666679	0.00008340
-214.33333346	0.00130120
-214.30000013	0.00248297
-214.26666679	0.00357092
-214.23333346	0.00465407
-214.20000013	0.00567112
-214.16666679	0.00672330
-214.13333346	0.00759643
-214.10000013	0.00834886
-214.06666680	0.00900098
-214.03333346	0.00969729
-214.00000013	0.01006240
-213.96666680	0.01065674
-213.93333346	0.01090220
-213.90000013	0.01106783
-213.86666680	0.01127364
-213.83333346	0.01132788
-213.80000013	0.01138042
-213.76666680	0.01144717
-213.73333347	0.01134109
-213.70000013	0.01118861
-213.66666680	0.01102076
-213.63333347	0.01081917
-213.60000013	0.01067505
-213.56666680	0.01018542
-213.53333347	0.01020054
-213.50000013	0.00983819
-213.46666680	0.00958328
-213.43333347	0.00944950
-213.40000013	0.00913598
-213.36666680	0.00900312
-213.33333347	0.00867251
-213.30000014	0.00857842
-213.26666680	0.00834912
-213.23333347	0.00823985
-213.20000014	0.00821416
-213.16666680	0.00820682
-213.13333347	0.00802834
-213.10000014	0.00806976
-213.06666680	0.00806606
-213.03333347	0.00815499
-213.00000014	0.00826244
-212.96666681	0.00803742
-212.93333347	0.00827286
-212.90000014	0.00822328
-212.86666681	0.00826383
-212.83333347	0.00821114
-212.80000014	0.00822880
-212.76666681	0.00832274
-212.73333347	0.00835312
-212.70000014	0.00811105
-212.66666681	0.00811064
-212.63333348	0.00812521
-212.60000014	0.00804352
-212.56666681	0.00785838
-212.53333348	0.00775212
-212.50000014	0.00752249
-212.46666681	0.00723758
-212.43333348	0.00712258
-212.40000014	0.00701475
-212.36666681	0.00699617
-212.33333348	0.00670362
-212.30000014	0.00667594
-212.26666681	0.00650043
-212.23333348	0.00649500
-212.20000015	0.00667014
-212.16666681	0.00662959
-212.13333348	0.00697953
-212.10000015	0.00706842
-212.06666681	0.00720586
-212.03333348	0.00761273
-212.00000015	0.00782758
-211.96666681	0.00808815
-211.93333348	0.00835605
-211.90000015	0.00881042
-211.86666682	0.00911223
-211.83333348	0.00936320
-211.80000015	0.00979669
-211.76666682	0.01018636
-211.73333348	0.01064512
-211.70000015	0.01091095
-211.66666682	0.01144809
-211.63333348	0.01164700
-211.60000015	0.01201398
-211.56666682	0.01258876
-211.53333349	0.01289226
-211.50000015	0.01326439
-211.46666682	0.01366071
-211.43333349	0.01431260
-211.40000015	0.01462503
-211.36666682	0.01501553
-211.33333349	0.01573473
-211.30000015	0.01631849
-211.26666682	0.01712253
-211.23333349	0.01766471
-211.20000015	0.01834165
-211.16666682	0.01911653
-211.13333349	0.01982334
-211.10000016	0.02082352
