# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:40:20
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-221.60000006	0.00200250
-221.56666673	0.00213873
-221.53333340	0.00206063
-221.50000007	0.00190646
-221.46666673	0.00199758
-221.43333340	0.00195999
-221.40000007	0.00202105
-221.36666673	0.00193302
-221.33333340	0.00200794
-221.30000007	0.00212874
-221.26666673	0.00208041
-221.23333340	0.00206164
-221.20000007	0.00200203
-221.16666674	0.00200387
-221.13333340	0.00205968
-221.10000007	0.00216025
-221.06666674	0.00207551
-221.03333340	0.00229430
-221.00000007	0.00205917
-220.96666674	0.00215646
-220.93333340	0.00219511
-220.90000007	0.00216307
-220.86666674	0.00225015
-220.83333341	0.00244709
-220.80000007	0.00254974
-220.76666674	0.00228751
-220.73333341	0.00245522
-220.70000007	0.00237715
-220.66666674	0.00241110
-220.63333341	0.00241146
-220.60000007	0.00253175
-220.56666674	0.00258492
-220.53333341	0.00250421
-220.50000007	0.00252183
-220.46666674	0.00254960
-220.43333341	0.00258880
-220.40000008	0.00248624
-220.36666674	0.00260066
-220.33333341	0.00242047
-220.30000008	0.00244550
-220.26666674	0.00246699
-220.23333341	0.00238365
-220.20000008	0.00247167
-220.16666674	0.00239971
-220.13333341	0.00234348
-220.10000008	0.00221209
-220.06666675	0.00215044
-220.03333341	0.00216926
-220.00000008	0.00212014
-219.96666675	0.00201939
-219.93333341	0.00185047
-219.90000008	0.00174603
-219.86666675	0.00174186
-219.83333341	0.00162043
-219.80000008	0.00143781
-219.76666675	0.00143373
-219.73333341	0.00133909
-219.70000008	0.00111273
-219.66666675	0.00101663
-219.63333342	0.00111596
-219.60000008	0.00098910
-219.56666675	0.00074696
-219.53333342	0.00042576
-219.50000008	0.00037994
-219.46666675	0.00025428
-219.43333342	0.00010744
-219.40000008	-0.00004537
-219.36666675	-0.00003772
-219.33333342	-0.00024490
-219.30000009	-0.00034742
-219.26666675	-0.00044488
-219.23333342	-0.00055654
-219.20000009	-0.00068480
-219.16666675	-0.00074163
-219.13333342	-0.00098515
-219.10000009	-0.00109821
-219.06666675	-0.00125103
-219.03333342	-0.00137604
-219.00000009	-0.00153399
-218.96666676	-0.00157888
-218.93333342	-0.00166072
-218.90000009	-0.00180800
-218.86666676	-0.00179730
-218.83333342	-0.00203703
-218.80000009	-0.00214840
-218.76666676	-0.00215254
-218.73333342	-0.00231930
-218.70000009	-0.00233769
-218.66666676	-0.00256503
-218.63333342	-0.00254317
-218.60000009	-0.00265255
-218.56666676	-0.00276891
-218.53333343	-0.00288019
-218.50000009	-0.00301755
-218.46666676	-0.00299774
-218.43333343	-0.00319776
-218.40000009	-0.00336521
-218.36666676	-0.00342004
-218.33333343	-0.00350586
-218.30000009	-0.00359701
-218.26666676	-0.00347642
-218.23333343	-0.00360738
-218.20000010	-0.00383972
-218.16666676	-0.00363419
-218.13333343	-0.00373841
-218.10000010	-0.00394171
-218.06666676	-0.00380746
-218.03333343	-0.00394329
-218.00000010	-0.00394823
-217.96666676	-0.00366500
-217.93333343	-0.00387787
-217.90000010	-0.00384192
-217.86666676	-0.00380616
-217.83333343	-0.00380697
-217.80000010	-0.00374079
-217.76666677	-0.00372224
-217.73333343	-0.00347437
-217.70000010	-0.00336050
-217.66666677	-0.00322971
-217.63333343	-0.00311715
-217.60000010	-0.00306562
-217.56666677	-0.00306859
-217.53333343	-0.00278330
-217.50000010	-0.00268703
-217.46666677	-0.00252883
-217.43333344	-0.00243410
-217.40000010	-0.00225228
-217.36666677	-0.00212839
-217.33333344	-0.00203426
-217.30000010	-0.00166836
-217.26666677	-0.00141231
-217.23333344	-0.00137741
-217.20000010	-0.00122922
-217.16666677	-0.00106497
-217.13333344	-0.00081532
-217.10000011	-0.00052054
-217.06666677	-0.00028250
-217.03333344	-0.00006798
-217.00000011	-0.00004273
-216.96666677	0.00014658
-216.93333344	0.00037422
-216.90000011	0.00044516
-216.86666677	0.00066983
-216.83333344	0.00063485
-216.80000011	0.00075337
-216.76666677	0.00101623
-216.73333344	0.00121039
-216.70000011	0.00140017
-216.66666678	0.00150453
-216.63333344	0.00157492
-216.60000011	0.00169755
-216.56666678	0.00207930
-216.53333344	0.00211970
-216.50000011	0.00234701
-216.46666678	0.00252053
-216.43333344	0.00253381
-216.40000011	0.00266610
-216.36666678	0.00289430
-216.33333345	0.00288866
-216.30000011	0.00308949
-216.26666678	0.00323886
-216.23333345	0.00349741
-216.20000011	0.00347732
-216.16666678	0.00366229
-216.13333345	0.00378549
-216.10000011	0.00378485
-216.06666678	0.00410811
-216.03333345	0.00413975
-216.00000011	0.00421687
-215.96666678	0.00438666
-215.93333345	0.00452874
-215.90000012	0.00474498
-215.86666678	0.00475701
-215.83333345	0.00479299
-215.80000012	0.00496683
-215.76666678	0.00500197
-215.73333345	0.00497303
-215.70000012	0.00512829
-215.66666678	0.00531854
-215.63333345	0.00536145
-215.60000012	0.00534374
-215.56666679	0.00563733
-215.53333345	0.00561553
-215.50000012	0.00571087
-215.46666679	0.00587934
-215.43333345	0.00596813
-215.40000012	0.00612019
-215.36666679	0.00619692
-215.33333345	0.00643024
-215.30000012	0.00642339
-215.26666679	0.00662684
-215.23333346	0.00664875
-215.20000012	0.00676381
-215.16666679	0.00678779
-215.13333346	0.00667278
-215.10000012	0.00669936
-215.06666679	0.00642868
-215.03333346	0.00627054
-215.00000012	0.00610325
-214.96666679	0.00573038
-214.93333346	0.00520095
-214.90000012	0.00481283
-214.86666679	0.00430595
-214.83333346	0.00371402
-214.80000013	0.00313847
-214.76666679	0.00255597
-214.73333346	0.00192456
-214.70000013	0.00141545
-214.66666679	0.00088668
-214.63333346	0.00042492
-214.60000013	0.00029866
-214.56666679	-0.00004075
-214.53333346	-0.00014361
-214.50000013	0.00004674
-214.46666680	0.00011058
-214.43333346	0.00004168
-214.40000013	0.00042593
-214.36666680	0.00068935
-214.33333346	0.00117250
-214.30000013	0.00134052
-214.26666680	0.00174820
-214.23333346	0.00238540
-214.20000013	0.00277370
-214.16666680	0.00324876
-214.13333346	0.00371566
-214.10000013	0.00434804
-214.06666680	0.00481582
-214.03333347	0.00513082
-214.00000013	0.00564981
-213.96666680	0.00609230
-213.93333347	0.00656211
-213.90000013	0.00694769
-213.86666680	0.00710457
-213.83333347	0.00730883
-213.80000013	0.00739411
-213.76666680	0.00755563
-213.73333347	0.00755387
-213.70000014	0.00742888
-213.66666680	0.00718594
-213.63333347	0.00691982
-213.60000014	0.00642666
-213.56666680	0.00582758
-213.53333347	0.00528241
-213.50000014	0.00448402
-213.46666680	0.00376357
-213.43333347	0.00295209
-213.40000014	0.00199470
-213.36666681	0.00094114
-213.33333347	0.00008175
-213.30000014	-0.00069110
-213.26666681	-0.00137064
-213.23333347	-0.00204422
-213.20000014	-0.00245840
-213.16666681	-0.00263668
-213.13333347	-0.00279968
-213.10000014	-0.00269641
-213.06666681	-0.00240789
-213.03333347	-0.00197175
-213.00000014	-0.00119150
-212.96666681	-0.00053199
-212.93333348	0.00035179
-212.90000014	0.00137347
-212.86666681	0.00226700
-212.83333348	0.00345651
-212.80000014	0.00439975
