# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
1.50183150	-19.80699301
1.50915750	-20.37922200
1.51648351	-19.85771231
1.52380952	-20.86665974
1.53113553	-20.31329233
1.53846153	-21.01558893
1.54578754	-21.05792536
1.55311355	-20.84355685
1.56043955	-21.46675895
1.56776556	-21.25695377
1.57509157	-21.62840585
1.58241758	-21.92191402
1.58974358	-22.17565942
1.59706959	-23.26876650
1.60439560	-28.81352908
1.61172161	-23.63525139
1.61904761	-23.60760226
1.62637362	-23.25052722
1.63369963	-24.25644321
1.64102563	-24.27383816
1.64835164	-25.50696533
1.65567765	-28.71133150
1.66300366	-46.13537529
1.67032966	-48.84961157
1.67765567	-36.05539390
1.68498168	-27.70733893
1.69230769	-26.36693446
1.69963369	-26.93642759
1.70695970	-28.10758609
1.71428571	-39.80204900
1.72161171	-43.35427391
1.72893772	-29.58523219
1.73626373	-27.05238776
1.74358974	-26.86975885
1.75091574	-27.01749818
1.75824175	-27.58317599
1.76556776	-29.97074006
1.77289377	-27.61817252
1.78021977	-28.07203393
1.78754578	-28.34899859
1.79487179	-32.38383459
1.80219780	-32.72257947
1.80952380	-28.68919216
1.81684981	-28.94475110
1.82417582	-28.70808119
1.83150182	-28.94199957
1.83882783	-29.12470628
1.84615384	-29.27380269
1.85347985	-29.91235085
1.86080585	-30.93016126
1.86813186	-41.06878281
1.87545787	-33.92573400
1.88278388	-30.82573851
1.89010988	-30.68904435
1.89743589	-30.81802754
1.90476190	-31.08281105
1.91208790	-31.90255397
1.91941391	-39.05308075
1.92673992	-34.66981930
1.93406593	-31.81145871
1.94139193	-31.61827393
1.94871794	-31.86950158
1.95604395	-31.72985715
1.96336996	-32.08004777
1.97069596	-32.11172708
1.97802197	-32.34033053
1.98534798	-32.59663555
1.99267398	-32.79388285
1.99999999	-33.16912271
2.00732600	-33.05363203
2.01465201	-33.82663930
2.02197801	-33.89276557
2.02930402	-33.89317743
2.03663003	-35.21404778
2.04395604	-40.38160713
2.05128204	-34.59714662
2.05860805	-34.61873868
2.06593406	-34.53745422
2.07326007	-37.09136074
2.08058607	-37.46364484
2.08791208	-34.93016712
2.09523809	-35.23901003
2.10256409	-35.28512909
2.10989010	-35.59904163
2.11721611	-35.69517972
2.12454212	-35.95572742
2.13186812	-36.12618864
2.13919413	-36.36638888
2.14652014	-37.25005958
2.15384615	-38.09255505
2.16117215	-43.63775128
2.16849816	-54.26880714
2.17582417	-40.75390782
2.18315017	-38.84602592
2.19047618	-40.61332108
2.19780219	-55.05725421
2.20512820	-43.22749982
2.21245420	-40.38571419
2.21978021	-45.23012058
2.22710622	-50.48473628
2.23443223	-40.79122682
2.24175823	-40.17532109
2.24908424	-40.34744860
2.25641025	-41.81212106
2.26373625	-51.12026920
2.27106226	-50.68424959
2.27838827	-42.04269387
2.28571428	-40.74020430
2.29304028	-40.64973803
2.30036629	-40.81879675
2.30769230	-41.06898581
2.31501831	-41.95637940
2.32234431	-42.60216390
2.32967032	-42.85758028
2.33699633	-42.91423864
2.34432234	-47.43772999
2.35164834	-46.85971291
2.35897435	-43.88946031
2.36630036	-48.72353970
2.37362636	-47.20308819
2.38095237	-44.83154582
2.38827838	-50.19482477
2.39560439	-67.73356816
2.40293039	-48.41297242
2.41025640	-45.14282293
2.41758241	-44.99856925
2.42490842	-44.93124239
2.43223442	-46.14387077
2.43956043	-45.33872921
2.44688644	-46.49610216
2.45421244	-47.28950356
2.46153845	-53.28396342
2.46886446	-60.39065033
2.47619047	-48.77651286
2.48351647	-46.95088217
2.49084248	-46.87970143
2.49816849	-46.85154195
2.50549450	-47.11162450
2.51282050	-47.31408358
2.52014651	-47.19833311
2.52747252	-47.58863538
2.53479852	-47.45050456
2.54212453	-47.75477258
2.54945054	-47.80291060
2.55677655	-47.94815023
2.56410255	-48.45963279
2.57142856	-49.35885414
2.57875457	-48.95528750
2.58608058	-49.13485568
2.59340658	-49.63723856
2.60073259	-50.11721092
2.60805860	-50.88136011
2.61538461	-51.60970604
2.62271061	-53.21740846
2.63003662	-59.78078478
2.63736263	-74.03142978
2.64468863	-84.68341308
2.65201464	-64.64866501
2.65934065	-58.03701688
2.66666666	-58.50053960
2.67399266	-55.34136908
2.68131867	-53.89924862
2.68864468	-62.10591961
2.69597069	-55.43322995
2.70329669	-53.58343887
2.71062270	-53.39064189
2.71794871	-53.39934594
2.72527471	-53.79056928
2.73260072	-54.01260506
2.73992673	-54.61886184
2.74725274	-55.00710387
2.75457874	-56.45598038
2.76190475	-58.63493231
2.76923076	-68.54111472
2.77655677	-78.10678341
2.78388277	-69.56041606
2.79120878	-61.76751769
2.79853479	-58.33544456
2.80586079	-57.95410169
2.81318680	-57.09062871
2.82051281	-57.34874158
2.82783882	-56.62005571
2.83516482	-57.88236717
