# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-221.76666674	0.00006911
-221.73333340	0.00022180
-221.70000007	0.00029266
-221.66666674	0.00012219
-221.63333340	0.00009440
-221.60000007	0.00010430
-221.56666674	0.00026411
-221.53333340	0.00019400
-221.50000007	0.00037157
-221.46666674	0.00029243
-221.43333341	0.00042381
-221.40000007	0.00034760
-221.36666674	0.00045835
-221.33333341	0.00043045
-221.30000007	0.00051861
-221.26666674	0.00059683
-221.23333341	0.00070184
-221.20000007	0.00070292
-221.16666674	0.00061751
-221.13333341	0.00081680
-221.10000007	0.00083548
-221.06666674	0.00074190
-221.03333341	0.00074615
-221.00000008	0.00084592
-220.96666674	0.00088820
-220.93333341	0.00074090
-220.90000008	0.00088559
-220.86666674	0.00093209
-220.83333341	0.00097878
-220.80000008	0.00090389
-220.76666674	0.00098109
-220.73333341	0.00092195
-220.70000008	0.00086447
-220.66666675	0.00078964
-220.63333341	0.00092521
-220.60000008	0.00062544
-220.56666675	0.00077561
-220.53333341	0.00058644
-220.50000008	0.00069119
-220.46666675	0.00065232
-220.43333341	0.00059009
-220.40000008	0.00057506
-220.36666675	0.00070354
-220.33333342	0.00072033
-220.30000008	0.00045207
-220.26666675	0.00056096
-220.23333342	0.00023708
-220.20000008	0.00043472
-220.16666675	0.00050413
-220.13333342	0.00044845
-220.10000008	0.00037504
-220.06666675	0.00045305
-220.03333342	0.00028034
-220.00000008	0.00055464
-219.96666675	0.00052492
-219.93333342	0.00053508
-219.90000009	0.00054841
-219.86666675	0.00075074
-219.83333342	0.00054762
-219.80000009	0.00063078
-219.76666675	0.00059127
-219.73333342	0.00054574
-219.70000009	0.00068469
-219.66666675	0.00063396
-219.63333342	0.00060973
-219.60000009	0.00078366
-219.56666676	0.00074524
-219.53333342	0.00091175
-219.50000009	0.00093789
-219.46666676	0.00084062
-219.43333342	0.00089870
-219.40000009	0.00085916
-219.36666676	0.00095224
-219.33333342	0.00094876
-219.30000009	0.00094626
-219.26666676	0.00097723
-219.23333343	0.00102882
-219.20000009	0.00098132
-219.16666676	0.00100000
-219.13333343	0.00092297
-219.10000009	0.00101296
-219.06666676	0.00114280
-219.03333343	0.00116642
-219.00000009	0.00111871
-218.96666676	0.00108160
-218.93333343	0.00106002
-218.90000009	0.00095390
-218.86666676	0.00092412
-218.83333343	0.00084294
-218.80000010	0.00089339
-218.76666676	0.00075670
-218.73333343	0.00100814
-218.70000010	0.00089524
-218.66666676	0.00100816
-218.63333343	0.00089662
-218.60000010	0.00087972
-218.56666676	0.00069653
-218.53333343	0.00084573
-218.50000010	0.00066740
-218.46666677	0.00061362
-218.43333343	0.00071081
-218.40000010	0.00044587
-218.36666677	0.00052967
-218.33333343	0.00059718
-218.30000010	0.00043899
-218.26666677	0.00043473
-218.23333343	0.00036768
-218.20000010	0.00018233
-218.16666677	0.00003337
-218.13333344	0.00006967
-218.10000010	0.00004420
-218.06666677	0.00010363
-218.03333344	-0.00009195
-218.00000010	-0.00013465
-217.96666677	-0.00032486
-217.93333344	-0.00030947
-217.90000010	-0.00041016
-217.86666677	-0.00052451
-217.83333344	-0.00042631
-217.80000011	-0.00053863
-217.76666677	-0.00062978
-217.73333344	-0.00049099
-217.70000011	-0.00054091
-217.66666677	-0.00069094
-217.63333344	-0.00080637
-217.60000011	-0.00093848
-217.56666677	-0.00096478
-217.53333344	-0.00108409
-217.50000011	-0.00097697
-217.46666677	-0.00113984
-217.43333344	-0.00122322
-217.40000011	-0.00131983
-217.36666678	-0.00132775
-217.33333344	-0.00119122
-217.30000011	-0.00130571
-217.26666678	-0.00143339
-217.23333344	-0.00153263
-217.20000011	-0.00140044
-217.16666678	-0.00153703
-217.13333344	-0.00161414
-217.10000011	-0.00173192
-217.06666678	-0.00172100
-217.03333345	-0.00166705
-217.00000011	-0.00172058
-216.96666678	-0.00176568
-216.93333345	-0.00184607
-216.90000011	-0.00178513
-216.86666678	-0.00186279
-216.83333345	-0.00166835
-216.80000011	-0.00179344
-216.76666678	-0.00176687
-216.73333345	-0.00164572
-216.70000012	-0.00160794
-216.66666678	-0.00163932
-216.63333345	-0.00161836
-216.60000012	-0.00153607
-216.56666678	-0.00155315
-216.53333345	-0.00154972
-216.50000012	-0.00145711
-216.46666678	-0.00132651
-216.43333345	-0.00120068
-216.40000012	-0.00120832
-216.36666678	-0.00113945
-216.33333345	-0.00108888
-216.30000012	-0.00085422
-216.26666679	-0.00086575
-216.23333345	-0.00081946
-216.20000012	-0.00061633
-216.16666679	-0.00049959
-216.13333345	-0.00055743
-216.10000012	-0.00051595
-216.06666679	-0.00039380
-216.03333345	-0.00031589
-216.00000012	-0.00013153
-215.96666679	-0.00004754
-215.93333346	0.00000742
-215.90000012	0.00016327
-215.86666679	0.00023350
-215.83333346	0.00040275
-215.80000012	0.00032631
-215.76666679	0.00051752
-215.73333346	0.00073126
-215.70000012	0.00066933
-215.66666679	0.00087109
-215.63333346	0.00082439
-215.60000013	0.00100376
-215.56666679	0.00098194
-215.53333346	0.00108275
-215.50000013	0.00123154
-215.46666679	0.00100741
-215.43333346	0.00125889
-215.40000013	0.00118983
-215.36666679	0.00118444
-215.33333346	0.00132350
-215.30000013	0.00140072
-215.26666679	0.00141370
-215.23333346	0.00138109
-215.20000013	0.00136134
-215.16666680	0.00169032
-215.13333346	0.00149062
-215.10000013	0.00129316
-215.06666680	0.00142169
-215.03333346	0.00160510
-215.00000013	0.00148848
-214.96666680	0.00150095
-214.93333346	0.00170641
-214.90000013	0.00157830
-214.86666680	0.00161981
-214.83333347	0.00156854
-214.80000013	0.00165293
-214.76666680	0.00177816
-214.73333347	0.00164776
-214.70000013	0.00179171
-214.66666680	0.00181456
-214.63333347	0.00166411
-214.60000013	0.00166211
-214.56666680	0.00188053
-214.53333347	0.00194801
-214.50000014	0.00176736
-214.46666680	0.00190510
-214.43333347	0.00203688
-214.40000014	0.00196983
-214.36666680	0.00204075
-214.33333347	0.00207265
-214.30000014	0.00189662
-214.26666680	0.00208717
-214.23333347	0.00215082
-214.20000014	0.00216780
-214.16666681	0.00216932
-214.13333347	0.00220680
-214.10000014	0.00236841
-214.06666681	0.00216124
-214.03333347	0.00231608
-214.00000014	0.00221521
-213.96666681	0.00236433
-213.93333347	0.00226835
-213.90000014	0.00232598
-213.86666681	0.00248406
-213.83333347	0.00238794
-213.80000014	0.00248488
-213.76666681	0.00261714
-213.73333348	0.00245607
-213.70000014	0.00221777
-213.66666681	0.00220382
-213.63333348	0.00189904
-213.60000014	0.00172654
-213.56666681	0.00136091
-213.53333348	0.00101779
-213.50000014	0.00083607
-213.46666681	0.00039309
-213.43333348	0.00013883
-213.40000015	-0.00022971
-213.36666681	-0.00051683
-213.33333348	-0.00061656
-213.30000015	-0.00078277
-213.26666681	-0.00075679
-213.23333348	-0.00091749
-213.20000015	-0.00089228
-213.16666681	-0.00067350
-213.13333348	-0.00051661
-213.10000015	-0.00036045
-213.06666682	0.00003838
-213.03333348	0.00016450
-213.00000015	0.00057873
-212.96666682	0.00105573
-212.93333348	0.00124060
-212.90000015	0.00150587
-212.86666682	0.00182425
-212.83333348	0.00228887
-212.80000015	0.00233400
-212.76666682	0.00259953
-212.73333348	0.00287489
-212.70000015	0.00309482
